ID do canal,URL do canal,Título do canal
UC--oQmMTiFaW3kmCwrjl9-A,http://www.youtube.com/channel/UC--oQmMTiFaW3kmCwrjl9-A,Jan Marshal
UC-2D2k0lNJGbXLAWYoAnSog,http://www.youtube.com/channel/UC-2D2k0lNJGbXLAWYoAnSog,Taylor’s Travels
UC-4I4ih-A9JNSmbd-fssXfg,http://www.youtube.com/channel/UC-4I4ih-A9JNSmbd-fssXfg,Viver de Kitnet
UC-5kcjY4xsHUmRgVxk6e5-Q,http://www.youtube.com/channel/UC-5kcjY4xsHUmRgVxk6e5-Q,Jessica Gómez
UC-Ci_zPa5MrYKuzmL9ZD_ig,http://www.youtube.com/channel/UC-Ci_zPa5MrYKuzmL9ZD_ig,Laurent Dagenais
UC-EnprmCZ3OXyAoG7vjVNCA,http://www.youtube.com/channel/UC-EnprmCZ3OXyAoG7vjVNCA,Stanford
UC-JHxwWL4-WoqyQIYsBvTbA,http://www.youtube.com/channel/UC-JHxwWL4-WoqyQIYsBvTbA,Davie Fogarty
UC-LMedLmP4vQwQUzM-q9dfA,http://www.youtube.com/channel/UC-LMedLmP4vQwQUzM-q9dfA,BNDES
UC-NRfZ7chK91HLbY69LT9yg,http://www.youtube.com/channel/UC-NRfZ7chK91HLbY69LT9yg,Monetizando | Negócios
UC-RhmDrxuxpXx96KsNVCrDw,http://www.youtube.com/channel/UC-RhmDrxuxpXx96KsNVCrDw,Distant Shores TV
UC-VjQHEpxdWLeyYZpcw5Lpw,http://www.youtube.com/channel/UC-VjQHEpxdWLeyYZpcw5Lpw,leds indoor
UC-WMwOzgFdvvGVLB1EZ-n-w,http://www.youtube.com/channel/UC-WMwOzgFdvvGVLB1EZ-n-w,Sam Pilgrim
UC-lHCBqKEtnXA0SBtdOP0bw,http://www.youtube.com/channel/UC-lHCBqKEtnXA0SBtdOP0bw,Felipe Fontoura
UC-mGhcKk7BtIA8fe-PfBzuQ,http://www.youtube.com/channel/UC-mGhcKk7BtIA8fe-PfBzuQ,Buttery Films
UC-smeLB9AnOTeypr1YyjJ3A,http://www.youtube.com/channel/UC-smeLB9AnOTeypr1YyjJ3A,ARTE Concert
